listing_id,host_id,description,transit,property_type,room_type,accommodates,num_bathrooms,num_bedrooms,amenities
2493658,5177328,"Beautiful apartment in an extremely safe, quiet and pedestrian-friendly section of Queen Anne.  A leafy-green location that puts the best of Seattle at your doorstep. Free WiFi, free parking, ...even free pillows!*  What's special about this place? A beautiful restoration mixing period details & modern sensibilities: Hardwood floors throughout, white subway tile, low/no VOCs & non-toxic paints keep this home-away-from-home clean, smart and healthy. Radiant heat and oil radiators mean no blowing hot air or dust.  Hypo-allergenic bedding, mattresses/covers and new pillows with each rental. (That's right, they're yours to keep, so feel free to take your new pillows with you.  More on this, below...)  Great Amenities: Free WiFi & internet TV (LED flatscreen). Fully-equipped kitchen with stainless-steel appliances, sink & disposal. Large washer & dryer.  Iron/ironing board. Hairdryer. Plenty of storage. Convenient parking, both on- and off-street. The Best Location: Enjoy Seattle's celebrat","Convenient bus stops are just down the block, if you're headed downtown or further afield to explore.  Zip cars are also strategically located on Queen Anne hill.",Apartment,Entire home/apt,4,1,1,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}"
175576,239585,"Queen Anne Hill is a charming neighborhood with historic old homes, located just up the hill from The Seattle Center: close enough to be convenient to everything, yet just far enough away from the traffic, hubbub and commotion of downtown! Be close to everything!  Queen Anne Hill is a charming neighborhood with historic old homes, located just up the hill from The Seattle Center: close enough to be convenient to everything, yet just far enough away from the traffic, hubbub and commotion of downtown! Your basement apartment in our home on Queen Anne Hill is just minutes from The Seattle Center (The Space needle, Pacific Science Center, IMAX Theater, Experience Music Project, International Fountain, Seattle Repertory Theater, Pacific Northwest Ballet, Seattle Children's Theater, and the Gates Foundation complex next door.) Eileen walked home from work every evening right past the Seattle Center. Plus, Seattle Pacific University is on the other end of The Hill.  Your private basement apar",The bus stop is just two blocks from our house and goes directly downtown.,House,Entire home/apt,2,1,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
10310373,53050379,"I moved into my apartment in December. It's still very simple right now (no wifi or tv) but I have a patio, a back yard and I'm a 3 minute walk from public transportation, a Whole Foods, and a 5 minute bus ride to the Space Needle/downtown Seattle.",,Apartment,Private room,3,1,1,"{""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers}"
4454295,4606439,"Beautifully furnished, cozy 1 bedroom mid century modern Craftsman house in Upper Queen Anne. 850 sqft - queen sz bed, large closet, huge dining table, comfy living room, bathtub, fully furnished kitchen, outdoor patio. VERY walkable neighborhood! Beautiful home in an extremely walkable neighborhood with restaurants, coffee shops, bars, stores. Just blocks away from bus stops. Convenient to downtown, Seattle Center, the Space Needle, Ballard, Fremont. I will likely not be present during your stay, but will have a friend or family member available in my absence. I am located in the Upper Queen Anne neighborhood - Seattle's oldest and most historic neighborhood! Yes, bus stops just 2-3 blocks away.","Yes, bus stops just 2-3 blocks away.",House,Entire home/apt,2,1,1,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}"
3883392,19932967,"Spacious apt in popular Seattle neighborhood.  1 block to bus and easy access by car to groceries, gas, freeway, stadiums, cruise ships.  Well stocked, quiet and restful space for your vacation; sorry, no accommodations for parties. This apartment is in a quiet and friendly city neighborhood; and central to so many places by car or transit.   Easily sleeps 1 - 4 persons comfortably and has a spacious feeling throughout the entire apartment.  Enter your apartment through an entry hallway for additional feeling of security.   We're in a great location being 10 minutes away from Ballard, Magnolia and downtown Seattle.  The kitchen has a gas stove, convection oven and enough tools to handle any kind of cooking.   We've also stocked the kitchen with some basic staples like oil, balsamic vinegar & spices which will simplify your grocery shopping for your stay here in Seattle.   Guests will have one designated spot for parking in front of the house if you have a car.  Access to washer/dryer o","#1 bus is one block from the house to downtown and back.  Once downtown, connect to other transit routes and light rail.   Street parking is available.  From airport, it's about 30-40 min drive north depending on traffic, or light rail to downtown.",Apartment,Entire home/apt,4,1,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}"
8889257,25899989,"Enjoy our amazing, updated & modern design cottage, located blocks from many of Seattle's best sites! The house is surrounded by million $ homes w/ easy access to downtown. Located on Queen Anne Hill, one of Seattle's most sought-after neighborhoods. Originally built in 1906, our house has a light-filled living room & dining area with vaulted ceilings & Sound/Mountain view.  We hope you'll enjoy the chef kitchen with gas range, stainless steel appliances, Richlight counters, maple cabinets & tile backsplash.  The bathroom has a 6 Ft. soaking tub, double sinks & floor to ceiling tile.  There are hardwood floors throughout the living space. The home has two bedrooms, with queen sized beds in each, as well as one roll away bed. Our house is situated in a quaint, historic corner of Queen Anne, and is accessed by a flight of 16 easy steps from the street.  Make yourself at home on the front deck and main floor of the home. Andrew and Camille will be the primary contact and are only minutes","Street parking only. From West Prospect, park on the cobble stone street and walk approximately 16 steps to home. The #1 bus stop is about one block down the hill.  Walk five blocks east to the famed Kerry Park to enjoy postcard perfect views of downtown.  Walk one block North to enjoy yet another famed Seattle view of Puget Sound and Olympic Mountains.  Queen Anne Avenue is close by, with endless shopping possibilities, as well as grocery stores such as Trader Joe's.  Or just head into the South Queen Anne neighborhood and to the Seattle Center or Downtown.  At this home, you are in the heart of it all!!",House,Entire home/apt,5,1,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}"
5680462,22372266,"Stunning Designsponge featured 6 bed, 3.75 bath, 4,000 sq ft home in the city's BEST location w/ free parking for about the same price as a decent hotel in Seattle. Walk to all of Queen Anne, or drive 5 min to downtown- this is where you want to be! Gorgeous, LIGHT FILLED, Newly Constructed Modern Farmhouse in THE BEST Location! 4 level home features 4,000 sq ft of living space with 6 bedrooms / 3.75 baths and up to 15 separate beds  The first level of the main home features an open living area with formal living room, dining room, family room, spacious kitchen, half bath, coat closet, and large open hall with bench seating and cubbies for storage. The family room has a comfy pull out sofa bed (full size bed) The kitchen has an oversized farmhouse style sink, 6 burner Bertazonni range, integrated 36"" Liebherr fridge / freezer, dishwasher, coffeemaker, microwave, and convection oven. The second level boasts 3 large bedrooms, the master has a queen bed and we can add in a pack and play f","Hwy 99 and the 5 freeway are both easy to get to from Queen Anne, and Parking is free on the streets near the house. No parking permit is required, (although this is not the case in all of Queen Anne or most other close in neighborhoods in Seattle so be sure to look at the signs) There are several bus lines to take you anywhere you need to go in the city within a 3 block radius, or you can easily get a service like Uber :)",House,Entire home/apt,16,3.5,6,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}"
8988178,2983711,"This home is full of light, art and comfort. 5 mins to Downtown, 1 min to coffee. The Space This is a 1000 square foot, two bedroom, one bathroom house. This home has a large kitchen and two very large indoor eating spaces. The open plan kitchen and living room have two sets of French doors opening to west facing decks with additional seating and lots of room to play. The two bedrooms are very comfy with new carpet and separately controlled heating. Take advantage of our kitchen for meals, or venture out and sample Seattle's restaurants during your stay here! Start the morning off right with some coffee on the deck. Or head out to Tenth West, Storyville Coffee Company, or Caffe Fiore. Then enjoy a nice, leisurely breakfast at The Seattle Grind, Macrina Bakery & Café, or Bustle. All are popular stops near our house.  Head out for some fresh morning air – go for a nice walk at Kerry Park, Parsons Gardens, or Discovery Park.  Try Bounty Kitchen, Le Reve Bakery & Café, or 5 Spot for lunch.","You will be 2 blocks from the Metro stop.  On the same corner you will find Muse Coffee, Red Square Yoga and the Ice Box-a great little breakfast and lunch spot that also sells wine, produce, bread, cheese and essentials.  On the Metro, you are 2 minutes to the Space Needle and Seattle Center and 5 minutes to downtown Seattle.",House,Entire home/apt,5,1,2,"{TV,""Cable TV"",Internet,Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}"
3245876,9465817,"Master bedroom suite with 1/4 bath & kitchenette hidden within lovely Kinnear Park. Mere blocks from Key Arena & Space Needle. Short ride to Pike Place, stadiums, & convention center. Enjoy the quiet, or a quick walk to tons of bars, restaurants, & shops! **PLEASE MAKE SURE TO READ ALL INFO BEFORE BOOKING!** If you need info on anything not mentioned in the listing, just ask! Pricing varies daily based on demand, but the calendar is always up to date. Simply enter your travel dates into the calendar to check pricing and availability. The guest room is fairly large, very private, and has lots of personality! It's approx 250 sq ft, completely separate from the rest of the apartment, and includes a full size bed, kitchenette, vanity area with sink, and two closets that are exclusively for your use - my guests enjoy complete privacy! You'll have pretty much everything you need: hangers, shelves, organizers, extra sheets/towels, first aid kit, umbrella, hairdryer, and iron/ironing board. Th","Taxi: Uber, Sidecar, and Lyft are all available in Seattle. They're usually less expensive than taxis, but you'll need to download the apps to your smartphone in order to use them. You can get your first ride for free up to $20 by using the code uvgmm for Uber or libby111 for Lyft! Bus: There are bus stops all over - the closest ones are less than 5 mins walking. The cost is $2.50, cash only. Monorail/Light Rail: The monorail at the Space Needle is 15 mins walking, and that will take you to 5th x Pine downtown for $2 (cash only). From there you can cross the street to the light rail station for quick and cheap access to the stadiums, Amtrak station, and airport. The light rail kiosks accept both cash and credit cards. Bike: Seattle now has a bike share program called Pronto. 24 hour passes are $8, and 3-day passes are $16. The nearest kiosk is at Key Arena, which is a 15 minute walk.",Apartment,Private room,2,1,1,"{Internet,""Wireless Internet"",""Pets Allowed"",Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}"
4933447,25417834,"Beautiful private entrance garden suite overlooking Elliot Bay. Off street covered parking available, convenient to public transportation.  Close to Seattle Center, SPU, Whole Foods, Pikes Mkt. Complimentary meal at local cafe/bar - The Sitting Room. French Country style home built in 1939 with spectacular view of Elliot Bay, latest remodel in 2015.  The private room and bath is located on the garden level with separate entrance on the west side.   Room includes full size bed, seating area, mini-fridge and wireless internet.  Large bathroom with shower, pedestal sink, and heated floor.  Bedding and towels provided. On-site, off-street, covered parking available.   Reservation includes a complimentary meal at The Sitting Room, a local neighborhood bistro owned by hosts. No smoking (indoors). Private entrance to space has keypad on door.  Access is to private room/space only.  Guests may park in covered car port and have access to front yard.  We will be available to welcome you, answer","Our central location means quick access to all surrounding neighborhoods and further destinations. The bus routes go through lower Queen Anne by Seattle Center and Key Arena, to Pikes Market and downtown, where you can catch the light rail to the airport or ride a ferry.  Car2go, Uber and cab service readily available.  Restaurants, food and shops within walking distance. Seattle is a bike friendly city and  Queen Anne is accessible to the Burke Gilman Trail and Lake Union.",House,Private room,2,1,1,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}"
7735464,6170760,"The second room in our spacious 2BR / 2 Bath apartment functions as both our office and a second bedroom for family, guests, and visitors!   All the comforts of home, minutes from downtown Seattle, yet you feel like you're in the suburbs!",,Apartment,Private room,2,2,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}"
6291829,32713558,"This  home built in 1909.  It has 5 bedrooms and 3.5 baths.  Perfect for family groups.  All modern conveniences.  It is only one block from the main street filled with restaurants, coffee shops and 4 BLOCKS TO KERRY PARK'S FAMOUS FIREWORKS DISPLAY. This home encompasses the character that is so sought after on Queen Anne.  It is a large Craftsman with a beautiful and private garden.  The front porch, gourmet kitchen, master suite, basement tv/game room and even the back yard provide plenty of spaces to relax and enjoy for a large group, especially with kids.    It has 4 bedrooms upstairs, one king and one queen bed, two full beds and 2 full baths.  The basement also has a queen bedroom and newly done bath/shower.  The location is unique because it is one block to all that Queen Anne has to offer and across the street from a park with baseball/soccer fields and a large playground.  It is one block to the community center and indoor pool. Full access with wifi and cable.  Parking in bac","Easy bus access to all the sites: Lower Queen Anne, Seattle Center, The Space Needle, Experience Music Project, Chihuly Glass Museum, Pacific Science Center and more.",House,Entire home/apt,10,3.5,5,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo}"
9218403,14100483,"This clean and comfortable one bedroom sits right across from Kinnear Park in Seattle's lower Queen Anne neighborhood. Walk to Seattle Center, the SAM Sculpture Park, or just sit on the deck and enjoy the view of Puget Sound and downtown Seattle. Kitchen has hot water tap and sodastream Excellent water pressure Original art throughout the house Dogs under 30 lbs welcome Roof deck Lower Queen Anne is near the Seattle Center (space needle, EMP museum, Glass museum, Science Center and Children's museum). It's also near SAM sculpture park, stores, restaurants, SIFF theater and more.",,Condominium,Entire home/apt,1,1,1,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Elevator in Building"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}"
4125779,21401856,"Relax in your own private finished basement space in a 1925 Craftsman in Upper Queen Anne, one of Seattle's most historic and lively neighborhoods.  Just 2 blocks from many trendy restaurants, yoga, shopping, etc.  Just a 15 minute bus ride to  Downtown, Fremont and Amazon / S. Lake Union by bus. Updated daylight basement space with queen and single sleeping nooks. Your privacy is paramount here with your own entrance and key. The space offers plenty of room to unwind and relax and read or enjoy Direct TV and Bose receiver. Shower/bathroom is located upstairs from this space. Bath, shower is located on the top floor of our home. There is a bathroom one level above the guest space, right off the kitchen area. Quiet space in outside patio area.  Private entrance with key provided. Access to main fridge and fresh ground coffee / tea / French press in the morning. We're always delighted to meet our guests, but re also respect your privacy! Just a few minutes walk to many great restaurants,",Metro Transit Bus #13 takes you to downtown Seattle in just 15 minutes and buses run every 20-30 minutes!,House,Private room,3,1.5,1,"{""Cable TV"",Internet,""Wireless Internet"",""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}"
10123910,28991907,"Charming 1914 craftsman in Madrona neighborhood w/breathtaking views of Lake Washington, Mt Rainier and Cascades.  One block from lake. Easy walking distance to waterfront beaches and shops, restaurants. Two blocks from bus stop to downtown Seattle.  Free and easy street parking in quiet Madrona neighborhood.",Two blocks from bus stop to downtown Seattle.  Free and easy street parking in quiet Madrona neighborhood.,House,Entire home/apt,8,1,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
8942678,46675077,"Welcome to Seattle! Enjoy your stay in a  turn-of-the-century Queen Anne home. Lovely setting in the heart of the city. Cosy up with a cup of coffee in the window seat or enjoy all of the fabulous Seattle restaurants, cafes and shops 1 block away. Centrally located spacious home in the heart of the city- 1 block away from world class restaurants, cafes and shops.  The house is across the street from a soccer field and park making it a perfect location for kids. Start your morning with an El Diablo cafe and then explore Seattle. It's an easy bus ride (or walk- 1/2 mile) to Seattle Center, Pike Place Market and all that downtown Seattle has to offer. Close to Green Lake, the University District and Capital Hill. -Easy access to restaurants, cafes, shopping and grocery stores. -across the street from a soccer field and park -3 blocks to bus stop -1/2 mile to downtown Seattle, Seattle Center, Opera House, Benaroya Hall -Close to Green Lake, the University District, Capitol Hill Easy email,",The bus stop is 3 blocks away. You are an easy ride to everywhere.,House,Entire home/apt,8,2,4,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher""}"
